Sink ID, Process ID, Thread ID, Time (Ticks), Text
STREAM_KERNEL0,0,0,55457512,"[SceDeci4pLoadp             ]:Starting...  OK        464usec
"
STREAM_KERNEL0,0,0,59906479,"[SceDeci4pCpup              ]:Starting...  OK        180usec
"
STREAM_KERNEL0,0,0,60928366,"[SceSblPostSsMgr            ]:Starting...  OK        102usec
"
STREAM_KERNEL0,0,0,62248864,"[SceSblUpdateMgr            ]:Starting...  OK        991usec
"
STREAM_KERNEL0,0,0,63654022,"[SceRegistryMgr             ]:Starting...  OK        124usec
"
STREAM_KERNEL0,0,0,75635176,"[SceDeci4pTsmp              ]:Starting...  OK        875usec
"
STREAM_KERNEL0,0,0,77211544,"[SceCodecEngineWrapper      ]:Starting...  OK        598usec
"
STREAM_KERNEL3,0,0,123963538,"[DECI] PS Vita DevKit (target) USB: connecting
"
STREAM_KERNEL0,0,0,153081910,"[SceError                   ]:Starting...  OK        194usec
"
STREAM_KERNEL0,0,0,154119118,"[SceNpDrm                   ]:Starting...  OK         33usec
"
STREAM_KERNEL0,0,0,154672681,"[SceUlobjMgr                ]:Starting...  OK         16usec
"
STREAM_KERNEL0,0,0,174886327,"[SceDeci4pTtyp              ]:Starting...  OK        468usec
"
STREAM_KERNEL0,0,0,186631681,"[SceDeci4pDbgp              ]:Starting...  OK        681usec
"
STREAM_KERNEL0,0,0,193870375,"[SceDeci4pPamp              ]:Starting...  OK       2028usec
"
STREAM_KERNEL0,0,0,213110392,"[SceSysLibTrace             ]:Starting...  OK          2usec
"
STREAM_KERNEL3,0,0,242030800,"[DECI] PS Vita DevKit (target) USB: connected
"
STREAM_KERNEL0,0,0,243086218,"[SceDeci4pDtracep           ]:Starting...  OK      37106usec
"
STREAM_KERNEL3,0,0,242308099,"[DECI] cleaned up all debugger sessions
"
STREAM_KERNEL0,0,0,257370382,"[SceDeci4pUserp             ]:Starting...  OK         64usec
"
STREAM_KERNEL0,0,0,262127428,"[SceDeci4pVcp               ]:Starting...  OK        231usec
"
STREAM_KERNEL0,0,0,268156702,"[SceNetPs                   ]:Starting...  OK       9347usec
"
STREAM_KERNEL0,0,0,268937716,"[SceGps                     ]:Starting...  OK        266usec
"
STREAM_KERNEL0,0,0,273334117,"[SceBbmc                    ]:Starting...  OK(NO_RESIDENT)         14usec
"
STREAM_KERNEL0,0,0,281407252,"[SceWlanBt                  ]:Starting...  OK      18352usec
"
STREAM_KERNEL0,0,0,282005476,"[SceUsbEtherSmsc            ]:Starting...  OK        164usec
"
STREAM_KERNEL0,0,0,282581746,"[SceUsbEtherRtl             ]:Starting...  OK        150usec
"
STREAM_KERNEL0,0,0,284037154,"[SceBt                      ]:Starting...  OK        141usec
"
STREAM_KERNEL0,0,0,292081723,"[SceDeci4pCtrlp             ]:Starting...  OK         35usec
"
STREAM_KERNEL0,0,0,292615318,"[SceUsbstorDriver           ]:Starting...  OK        121usec
"
STREAM_KERNEL0,0,0,293098741,"[SceUsbstorVStorDriver      ]:Starting...  OK        123usec
"
STREAM_KERNEL0,0,0,293594677,"[SceUsbPspcm                ]:Starting...  OK        133usec
"
STREAM_KERNEL0,0,0,309119305,"[SceAvcodec                 ]:Starting...  OK        449usec
"
STREAM_KERNEL0,0,0,309764275,"[SceAudioin                 ]:Starting...  OK        274usec
"
STREAM_KERNEL0,0,0,311005918,"[SceNgs                     ]:Starting...  OK        143usec
"
STREAM_KERNEL0,0,0,318049315,"[SceGpuEs4                  ]:Starting...  OK      18353usec
"
STREAM_KERNEL0,0,0,319254994,"[SceGpuEs4Init              ]:Starting...  OK(NO_RESIDENT)       1903usec
"
STREAM_KERNEL0,0,0,327354598,"[SceGpuEs4CoreDump          ]:Starting...  OK        376usec
"
STREAM_KERNEL0,0,0,328152718,"[SceCompat                  ]:Starting...  OK        101usec
"
STREAM_KERNEL0,0,0,329366263,"[SceCamera                  ]:Starting...  OK        209usec
"
STREAM_KERNEL0,0,0,330996637,"[SceCoredump                ]:Starting...  OK        800usec
"
STREAM_KERNEL0,0,0,331841053,"[SceAVConfig                ]:Starting...  OK        363usec
"
STREAM_KERNEL0,0,0,332536372,"[SceFios2Kernel             ]:Starting...  OK         58usec
"
STREAM_KERNEL0,0,0,335022832,"[ScePfsMgr                  ]:Starting...  OK       2755usec
"
STREAM_KERNEL0,0,0,341619025,"[SceAppMgr                  ]:Starting...  OK       8132usec
"
STREAM_KERNEL0,0,0,351380485,"[SceDeci4pRDrfp             ]:Starting...  OK       6906usec
"
STREAM_KERNEL0,0,0,351890077,"[SceSysmodule               ]:Starting...  OK         15usec
"
STREAM_KERNEL0,0,0,353061778,"[SceVshBridge               ]:Starting...  OK        297usec
"
STREAM_KERNEL0,0,0,381149776,"[SceMarlinHci               ]:Starting...  OK        188usec
"
STREAM_KERNEL0,0,0,381504133,"[SceTty2uart                ]:Starting...  OK(NO_RESIDENT)          1usec
"
STREAM_KERNEL0,0,0,402453631,"[SceDeci4pSCTtyp            ]:Starting...  OK(NO_RESIDENT)          2usec
"
STREAM_KERNEL3,0,0,732902395,"[SceLibKernel               ]:Starting...  OK        622usec
"
STREAM_KERNEL3,0,0,733990951,"[SceDriverUser              ]:Starting...  OK        622usec
"
STREAM_KERNEL3,0,0,734435368,"[SceAvcodecUser             ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,735037282,"[SceGpuEs4User              ]:Starting...  OK        608usec
"
STREAM_KERNEL3,0,0,735802834,"[SceGxm                     ]:Starting...  OK        498usec
"
STREAM_KERNEL3,0,0,736003297,"[SceLibDbg                  ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,736228147,"[SceLibft2                  ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,736568950,"[SceLibPvf                  ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,737053711,"[ScePerf                    ]:Starting...  OK        504usec
"
STREAM_KERNEL0,0,0,738768280,"
PSP2 Kernel Booting Time : 3981 [msec]

"
STREAM_STDOUT,199831,1073807365,974446441,"[Shell]: vsh/release_branches/release_02.500 r120261 (build#624821)
"
STREAM_KERNEL3,0,0,973341352,"[ScePaf                     ]:Starting...  OK      12111usec
"
STREAM_STDOUT,199831,1073807365,979512826,"[SceCronCallbackMgr] Periodic Timer Offset: 836.041 sec
"
STREAM_STDOUT,199831,1073807365,984644239,"[SceCronCallbackMgr] Next System-Resume Schedule: Not Planned
"
STREAM_KERNEL3,0,0,1156296622,"[SceShellSvc                ]:Starting...  OK        668usec
"
STREAM_KERNEL3,0,0,1192194463,"[SceCommonDialog            ]:Starting...  OK        506usec
"
STREAM_KERNEL3,0,0,1302998587,"[SceSqliteVsh               ]:Starting...  OK        526usec
"
STREAM_KERNEL3,0,0,1372373590,"[ScebXCe                    ]:Starting...  OK        506usec
"
STREAM_KERNEL3,0,0,1379689129,"[SceIniFileProcessor        ]:Starting...  OK        489usec
"
STREAM_KERNEL3,0,0,1391052406,"[SceCommonGuiDialog         ]:Starting...  OK        859usec
"
STREAM_KERNEL3,0,0,1409007940,"[SceDbutil                  ]:Starting...  OK        563usec
"
STREAM_KERNEL3,0,0,1420196041,"[SceNet                     ]:Starting...  OK        482usec
"
STREAM_KERNEL3,0,0,1430509327,"[SceLibNetCtl               ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,1445117131,"[SceLibHttp                 ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,1475049667,"[SceLibSsl                  ]:Starting...  OK          0usec
"
STREAM_KERNEL3,0,0,1485388768,"[SceNpManager               ]:Starting...  OK          0usec
"
STREAM_KERNEL3,0,0,1495057276,"[SceNpCommon                ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,1506929635,"[SceNpUtility               ]:Starting...  OK          0usec
"
STREAM_KERNEL3,0,0,1522741378,"[SceNpActivityNet           ]:Starting...  OK          0usec
"
STREAM_KERNEL3,0,0,1544901844,"[SceActivityDb              ]:Starting...  OK        538usec
"
STREAM_KERNEL3,0,0,1601232526,"[SceLsdb                    ]:Starting...  OK        880usec
"
STREAM_STDOUT,199831,1073807721,1613826553,"[SceTriggerMgr] Loading DB failed (0x80010002). Initializing new DB.
"
STREAM_KERNEL3,0,0,1644506299,"[ScePhotoExport             ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,1651009846,"[SceJpegEncArm              ]:Starting...  OK          0usec
"
STREAM_KERNEL3,0,0,1815031225,"[SceLibMtp                  ]:Starting...  OK        775usec
"
STREAM_STDOUT,199831,1073807721,1816341478,"[MTP getSystemParamUserName(293)err] sceAppMgrGetSystemDataFile() failed 0x80010002
"
STREAM_KERNEL3,0,0,2064143659,"[SceAudiocodec              ]:Starting...  OK          1usec
"
STREAM_STDOUT,199831,1073808117,2348524438,"
*** network ready. myaddr: 192.168.0.119 ***
"
STREAM_STDOUT,199831,1073807721,2625409834,"[SceCronCallbackMgr] Next System-Resume Schedule: Sat, 21 Sep 2013 05:26:19 +0000
"
STREAM_KERNEL3,0,0,2761829746,"[SceLiveAreaUtil            ]:Starting...  OK        586usec
"
STREAM_KERNEL2,0,0,2882017690,"addcont0: skipped -> NPXS10079
"
STREAM_KERNEL3,0,0,2903706964,"[SceLibKernel               ]:Starting...  OK       3082usec
"
STREAM_KERNEL3,0,0,2904455578,"[SceDriverUser              ]:Starting...  OK        806usec
"
STREAM_KERNEL3,0,0,2904714496,"[SceAvcodecUser             ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,2905179808,"[SceGpuEs4User              ]:Starting...  OK        608usec
"
STREAM_KERNEL3,0,0,2905693255,"[SceGxm                     ]:Starting...  OK        512usec
"
STREAM_KERNEL3,0,0,2906868700,"[SceShellSvc                ]:Starting...  OK       2451usec
"
STREAM_KERNEL3,0,0,2907027961,"[SceLibDbg                  ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,2908323742,"[ScePerf                    ]:Starting...  OK       2992usec
"
STREAM_KERNEL3,0,0,2945472268,"[ScePaf                     ]:Starting...  OK       4332usec
"
STREAM_KERNEL3,0,0,2948881384,"[SceNet                     ]:Starting...  OK        507usec
"
STREAM_KERNEL3,0,0,2949508756,"[SceLibNetCtl               ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,2950728469,"[SceLibHttp                 ]:Starting...  OK          0usec
"
STREAM_KERNEL3,0,0,2956396648,"[SceLibSsl                  ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,2959279216,"[SceNpManager               ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,2959896913,"[SceNpCommon                ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,2970235249,"[SceSqliteVsh               ]:Starting...  OK        533usec
"
STREAM_KERNEL3,0,0,2971730320,"[SceDbutil                  ]:Starting...  OK        552usec
"
STREAM_KERNEL3,0,0,2984696497,"vshbridge : shell ready
"
